binc,pamt1,pamt2
0,0,0
0.033329519,0,0
0.03588482,0,0
0.03863603,0,0
0.04159817,0,0
0.044787411,0,0
0.048221164,0,0
0.051918175,0,0
0.055898628,0,0
0.060184254,0,0
0.064798449,0,0
0.069766404,0,0
0.075115242,0,0
0.080874163,0,0
0.087074608,0,0
0.093750428,0,0
0.100938068,0.001073874,0.00081892
0.108676769,0,0
0.117008779,0,0
0.125979586,0,0
0.135638166,0,0
0.146037247,0,0
0.157233603,0,0
0.16928836,0,0
0.182267328,0,0
0.196241366,0.001871408,0.00228412
0.211286762,0,0
0.227485656,0,0
0.244926483,0,0
0.263704461,0,0
0.283922105,0,0
0.305689792,0.004529295,0.004448303
0.32912636,0,0
0.354359758,0,0
0.381527745,0,0
0.410778643,0.002310847,0.003305485
0.442272143,0,0
0.476180181,0,0
0.512687874,0.007379852,0.006376764
0.551994532,0,0
0.594314745,0.002634711,0.003664012
0.639879557,0,0
0.688937723,0.002173993,0.002215329
0.741757071,0,0
0.798625964,0.009438604,0.008902107
0.859854869,0,0
0.925778061,0.002274157,0.002311602
0.99675544,0.010270856,0.010070754
1.0731745,0.002433145,0.002471209
1.155452441,0,0
1.244038453,0.003409568,0.004777284
1.33941616,0.011923786,0.009620493
1.442106267,0.003354029,0.004841004
1.5526694,0.014000521,0.013246815
1.671709167,0.002701408,0.002715128
1.799875452,0.011683977,0.010665866
1.937867967,0.016379776,0.016447023
2.086440065,0.002885991,0.002932797
2.246402861,0.014370133,0.013610509
2.418629655,0.019856623,0.018606666
2.6040607,0.006702496,0.00834217
2.803708338,0.015024138,0.01430184
3.018662524,0.018642632,0.018737573
3.250096777,0.015380386,0.015035924
3.499274588,0.020034835,0.020963395
3.767556317,0.021873441,0.020279811
4.056406619,0.021561215,0.02388862
4.367402442,0.019087555,0.018817853
4.702241634,0.028743815,0.027261821
5.062752215,0.029282162,0.030644819
5.450902354,0.033332468,0.032039987
5.868811114,0.023324561,0.025590066
6.318760026,0.038293287,0.03651836
6.803205536,0.035577505,0.03662634
7.324792424,0.032976118,0.032282519
7.886368237,0.05213284,0.050647032
8.49099884,0.038430881,0.04067659
9.141985149,0.04708187,0.046054644
9.842881154,0.053468837,0.054100111
10.59751332,0.043200586,0.042038621
11.41000149,0.050340009,0.051879557
12.28478135,0.05844351,0.057782328
13.22662866,0.054016088,0.054939118
14.24068535,0.054261793,0.054509003
15.33248755,0.054410709,0.056195917
16.50799583,0.061126873,0.061975993
17.77362777,0.058839975,0.060465559
19.13629293,0.061972402,0.061447175
20.60343065,0.059418261,0.060326703
22.18305062,0.059904669,0.06236852
23.88377659,0.056875107,0.057134987
25.71489349,0.056354846,0.059027028
27.68639813,0.06332202,0.063823459
29.80905372,0.052346864,0.054014607
32.09444867,0.053464303,0.055076652
34.55505985,0.053975257,0.054982468
37.2043207,0.046759473,0.049002443
40.0566946,0.046995219,0.048476359
43.12775375,0.044735111,0.046154363
46.4342643,0.038215481,0.040071827
49.99427778,0.04136754,0.044187067
53.82722971,0.032056227,0.034242097
57.95404567,0.031563883,0.033309955
62.39725559,0.027348175,0.028483668
67.1811167,0.024742622,0.025494932
72.33174597,0.022053905,0.023667864
77.87726272,0.018807585,0.019779024
83.84794211,0.017199215,0.018113996
90.27638043,0.014347806,0.015608261
97.19767306,0.012553107,0.013068412
104.6496061,0.011475183,0.01204723
112.6728625,0.009112022,0.009839517
121.3112444,0.007494727,0.008005171
130.6119121,0.006546472,0.007145623
140.6256417,0.005289806,0.005629918
151.4071021,0.004383926,0.004673752
163.0151535,0.003791412,0.004157992
175.5131687,0.003064116,0.00312952
188.9693795,0.002398351,0.002775616
203.4572485,0.002029537,0.002257718
219.0558707,0.001685852,0.001822531
235.8504051,0.001396967,0.001412372
253.9325398,0.00112977,0.001126299
273.4009922,0.000669297,0.00080615
294.3620483,0.000696132,0.000601417
316.9301427,0.000455678,0.00057775
341.2284835,0.000354123,0.000365713
367.389725,0.000343274,0.000269279
395.5566916,0.000249624,0.000220468
425.8831579,0.00019752,0.000171365
458.5346881,0.000101546,6.96E-05
493.6895397,7.48E-05,3.37E-05
531.5396369,2.94E-05,5.15E-05
572.2916182,3.92E-05,2.35E-05
616.1679648,2.56E-05,5.15E-05
663.4082149,1.77E-05,1.81E-05
714.2702717,1.01E-05,0
